product_id,product_type,protein_pct,carbs_g,fat_g,moisture_pct,bcaa_g,leucine_g,solubility_index,denaturation_pct,odor_score,flavor_score,lead_ppm,cadmium_ppm,quality_label
WPB2709,concentrate,52.72,4.2,4.13,4.77,11.31,4.27,38.66348013,31.19390184,2.06882173,3.765676288,0.0053,0.0066,Low
WPB2710,blend,70.41,4.41,5.51,4.13,14.13,5.37,70.71196619,23.74837351,4.170299279,7.35033852,0.0169,0.0058,Medium
WPB2711,blend,80.07,3.35,3.62,4.91,17.46,7.33,88.55162959,3.502228794,8.453882394,9.826504123,0.001,0.0001,High
WPB2712,concentrate,48.74,4.03,4.76,3.82,11.65,4.88,35.80765125,39.29189607,4.712537171,4.426232736,0.0123,0.0049,Low
WPB2713,concentrate,89.99,4.96,3.65,5.07,19.19,7.79,88.30468166,1.456338598,8.57341033,8.156307134,0.0063,0.0109,High
WPB2714,concentrate,92.65,4.57,4.88,4.61,20.1,8.34,97.08479695,5.598700805,8.213974574,8.794586949,0.0005,0.0002,High
WPB2715,blend,87.34,2.55,2.67,4.77,16.47,6.65,83.69758474,5.672225058,8.386718286,9.033704765,0.0156,0.0051,High
WPB2716,blend,87.7,8.27,5.37,3.68,21.9,8.27,89.27003031,5.255455778,10,8.465797635,0.0103,0.0041,High
WPB2717,isolate,50.26,1.6,4.08,5.54,11.19,3.99,37.27951968,38.19359516,3.567741749,2.17109455,0.006,0.0009,Low
WPB2718,isolate,63.6,2.89,0,3.25,15.55,6.3,48.56247987,31.37073803,1,4.250353009,0.0028,0.0037,Low
WPB2719,concentrate,87.28,9.51,4.32,5.97,17.31,6.39,89.50739929,3.739195778,9.532137471,9.379141493,0.0088,0.0013,High
WPB2720,concentrate,79.47,6.2,6.33,2.68,15.75,5.88,77.95756123,19.25668888,7.109547294,6.145637092,0.0019,0.001,Medium
WPB2721,blend,88.74,8.67,3.95,4.92,18.48,7.29,77.40526915,9.87715665,9.266116005,7.610263501,0.0011,0.0004,High
WPB2722,concentrate,55.86,5.04,2.18,3.31,12.76,5.27,64.49153506,22.52739636,3.697319158,5.00616999,0.0087,0.0075,Low
WPB2723,concentrate,69.9,2.69,7.05,2.67,16.42,6.02,68.26305463,16.04901712,6.355293295,6.769915054,0.0022,0.0018,Medium
WPB2724,blend,83.91,4.79,3.11,4.17,17.46,7.21,74.05868048,17.07826375,5.931920535,5.361751406,0.0157,0.0009,Medium
WPB2725,blend,65.26,9.64,2.32,5.42,12.75,5.23,44.80117814,22.58813147,4.350514083,5.175724432,0.0009,0.0008,Low
WPB2726,blend,94.82,7.24,3.66,6.6,22.26,8.98,98.84373972,6.514032082,9.508257711,8.296265362,0.0019,0.001,High
WPB2727,blend,47.3,5.2,4.99,3.85,11.64,4.73,32.27118164,32.43681912,4.029330218,3.398691507,0.0139,0.0026,Low
WPB2728,isolate,76.32,1.82,2.13,3.84,17.58,6.5,81.09100246,13.85095123,5.681461108,7.023299693,0.0197,0.0032,Medium
WPB2729,blend,85.62,6.99,3.02,5.08,19.25,7.54,84.60538413,7.188771175,8.669887764,8.473447322,0.0031,0.0041,High
WPB2730,blend,77.22,1.87,4.89,4.14,16.1,6.69,61.72702553,13.75055965,5.483962395,5.997335427,0.0011,0.0005,Medium
WPB2731,concentrate,76.46,2.76,2.2,5.16,16.26,6.6,64.82424552,16.35916392,5.443959391,7.02599603,0.0036,0.0016,Medium
WPB2732,concentrate,52.1,0,3.78,4.62,10.46,3.72,61.24928826,30.9107826,2.2962027,3.642630358,0.0013,0,Low
WPB2733,concentrate,87.31,4.67,2.13,3.08,18.29,7.6,92.0465049,5.834362067,7.854914047,9.937754036,0.0014,0.0003,High
WPB2734,isolate,94.27,1.89,3.71,4.23,18.37,7.66,80.90709479,8.842333125,8.548412114,8.243978531,0.0118,0.0009,High
WPB2735,blend,87.59,0.75,0,4.54,21.58,8.86,89.41722637,0.240996475,8.912687278,9.452300617,0.0124,0,High
WPB2736,blend,39.58,9.77,0.94,3.5,8.32,3.45,54.15442837,39.66128039,2.113897626,3.010759789,0.0231,0.0004,Low
WPB2737,isolate,86.39,4.99,1.11,5.09,19.68,7.82,89.36007779,0,10,9.160335959,0.013,0.0017,High
WPB2738,blend,69.52,3.47,3.77,3.31,15.61,5.71,69.29876097,18.38638216,4.868657218,7.71888044,0.0019,0.0014,Medium
WPB2739,concentrate,85.24,5.94,4.5,3.43,18.36,6.52,94.47620539,6.192615676,9.241580444,8.96740789,0.0145,0.0031,High
WPB2740,isolate,59.97,4.83,2.77,1.35,10.19,3.91,28.13270899,29.39032291,4.249922059,3.55731486,0.0091,0.0006,Low
WPB2741,blend,79.45,5.62,0.01,2.94,15.52,5.65,65.80263466,9.52654832,7.498348872,7.572008081,0.0091,0.0008,Medium
WPB2742,isolate,70.78,7.3,6.52,2.86,14.2,5.14,86.73188382,13.14760474,5.384380973,3.847850893,0.006,0.0016,Medium
WPB2743,isolate,51.15,12.74,3.19,4.34,11.89,4.5,29.1962439,27.23798443,3.104521144,4.777796843,0.0015,0.0031,Low
WPB2744,blend,85.91,2.32,5.31,2.88,20.91,7.15,87.12504407,2.562784837,8.763940447,8.186358819,0.0236,0.0086,High
WPB2745,concentrate,65.63,0,5.39,3.3,14.5,5.72,51.69242798,35.93393488,3.619180805,4.172959038,0,0.0031,Low
WPB2746,blend,90.76,3.54,0.34,6.54,18.86,7.13,80.9852589,9.14472511,7.917566557,6.951647655,0.0058,0,High
WPB2747,blend,78.38,7,1.82,5.37,17.19,6.78,68.52695141,28.06408229,6.179929894,5.311112392,0.0024,0.0055,Medium
WPB2748,concentrate,84.9,5.51,6.28,2.29,19.62,7.74,100,4.304189018,8.170082307,8.679938089,0.0022,0.0012,High
WPB2749,blend,43.04,1.79,3.03,3.04,8.88,3.22,41.55475005,37.6992327,4.700229677,3.078689698,0.0078,0.0009,Low
WPB2750,blend,91.69,6.45,3.57,4.83,21.1,7.69,82.85475371,3.959198246,8.149288513,8.001152104,0.0012,0.0036,High
WPB2751,blend,93.76,1.12,3.98,5.78,18.45,6.52,88.33072137,3.829224697,8.890093664,7.382115307,0.0005,0.004,High
WPB2752,isolate,42.7,4.71,3.98,5.21,9.66,3.64,39.93856117,36.06546827,1.927507933,2.78970239,0.0088,0.0018,Low
WPB2753,isolate,70.69,3.96,2.77,5.13,14.78,6.18,47.96471933,28.46215127,2.916519823,5.346228081,0.0096,0.0024,Low
WPB2754,isolate,54.26,2.67,1.51,3.87,12.16,4.89,21.42541086,37.09227706,4.933641855,3.079952806,0.0011,0.0035,Low
WPB2755,blend,56.18,3.52,1.98,3.3,11.61,3.99,48.47340308,36.78364973,4.321083442,3.29804097,0.0018,0.0101,Low
WPB2756,concentrate,45.77,7.11,4.21,2.71,9.23,3.37,46.05469062,34.3154157,1.962551992,5.132912163,0.0014,0.0033,Low
WPB2757,isolate,42.58,5.43,0.66,3.35,7.32,2.62,40.6611115,29.28810855,2.607647851,1.960856262,0.0202,0.0008,Low
WPB2758,concentrate,81.21,2.41,0.74,3.54,18.88,6.83,90.18472532,3.368670612,7.286543208,8.135365995,0.0191,0.0038,High
WPB2759,blend,91.09,2.55,2.34,4.58,20.53,7.91,93.00480055,5.883885132,7.426378216,8.708392113,0.0035,0.0042,High
WPB2760,isolate,74.59,2.5,1.79,4.76,16.09,5.74,47.97726251,20.71536151,7.567481181,3.767719931,0.008,0.0002,Medium
WPB2761,blend,77.3,1.03,3.83,4.09,17.74,6.21,74.04055502,22.76596667,5.491502829,6.664672678,0.013,0.0001,Medium
WPB2762,concentrate,80.67,11.93,7.27,3.76,18.76,7.15,74.98111888,24.67998824,4.689780912,5.643719756,0.0334,0.0057,Medium
WPB2763,isolate,54.33,0,4.29,4.38,10.77,4.31,56.44671891,30.4685992,1.03796161,1.124746861,0.001,0.0002,Low
WPB2764,isolate,66.83,5.23,2.59,4.29,15.59,6.25,45.85421608,22.80644929,2.819576674,4.644053629,0.0148,0.0006,Low
WPB2765,isolate,49.22,0.96,0,2.24,11.23,4.46,47.3364262,29.064427,2.66255638,2.866530541,0.0021,0.0073,Low
WPB2766,isolate,72.91,3.44,2.96,4.76,17.7,6.57,66.81512379,20.82199415,6.035243621,6.740256645,0.0371,0.0003,Medium
WPB2767,concentrate,48.68,7.91,1.57,5.5,10.82,4.53,45.62242032,42.80363696,4.336767629,3.659540706,0.0119,0.0007,Low
WPB2768,isolate,60.85,7.1,4.9,4.12,14.33,5.73,48.93618823,18.27118795,1,3.833891498,0.0117,0.0004,Low
WPB2769,blend,91.34,3.81,1.37,1.96,19.59,6.82,87.35217999,1.309223416,8.879033354,8.342808002,0.0025,0.0028,High
WPB2770,isolate,86.64,4.19,1.16,5.61,19.48,7.8,85.66403569,5.796302768,9.59482428,7.641232758,0.0056,0.0041,High
WPB2771,concentrate,45.25,5.68,4.32,4.86,8.37,3.47,51.99243762,24.89606133,1.565592024,4.614431216,0.0007,0.0057,Low
WPB2772,isolate,63.61,0,2.25,2.56,14.78,5.97,32.07380234,33.84052451,2.912325435,2.774755074,0.0001,0.0008,Low
WPB2773,concentrate,85.36,1.82,2.6,4.9,20,7.74,88.90188595,3.579378951,8.687485423,7.886925378,0.003,0.0003,High
WPB2774,concentrate,72.99,3.9,1.58,3.86,16.11,5.87,74.85642861,15.79071267,4.824022369,5.392376677,0.0219,0.0067,Medium
WPB2775,blend,47.49,5.02,4.56,2.93,9.39,3.62,32.01262557,18.01416037,3.976427982,2.801237118,0.0049,0.0011,Low
WPB2776,isolate,76.44,3.65,1.3,3.38,16.03,6.59,65.0016478,14.63386858,5.523673637,7.573454609,0.0048,0.0049,Medium
WPB2777,isolate,49.61,5.77,3.65,3.35,9.59,3.8,53.42187118,18.82489146,2.794847921,4.495184234,0.0012,0.0088,Low
WPB2778,isolate,59.91,8,0,6.65,12.98,5.12,38.9703216,39.53938236,2.468312924,3.216793339,0.002,0.0001,Low
WPB2779,blend,86.32,6.08,1.57,3.38,21.16,7.64,95.37945675,3.584458331,8.280330731,7.930144098,0.0129,0.0028,High
WPB2780,blend,58.76,6.5,4.32,3.47,11.74,4.5,64.04250037,29.38738471,1.420048808,1.673473963,0.0064,0.0042,Low
WPB2781,concentrate,48.53,2.06,4.26,4.35,11.19,4.38,50.82987087,23.84603723,1.061431758,1,0.0007,0.0028,Low
WPB2782,concentrate,91.68,0,2.11,6.33,19.02,6.47,90.07130097,3.546719467,8.9762012,10,0.0068,0.0045,High
WPB2783,concentrate,86.5,6.26,4.2,5.65,22.42,7.68,100,5.227341062,7.994464349,9.483411851,0.0233,0.0068,High
WPB2784,blend,88.27,7.23,3.64,3.64,22.01,8.7,89.13634947,3.935829763,7.580450388,8.776074907,0.0054,0.0005,High
WPB2785,blend,84.44,6.9,3.64,3.49,21.03,7.37,83.56268786,1.240661613,7.293034656,7.551565825,0.0018,0.001,High
WPB2786,blend,74.92,5.25,1.55,5.8,17.36,6.14,77.8513053,7.347726613,6.087057923,8.2802156,0.0024,0.0006,Medium
WPB2787,concentrate,84.55,8.31,1.42,3.66,17.57,7.07,90.45149591,5.683672488,8.835244142,8.933320648,0.0114,0.0005,High
WPB2788,blend,87.87,0.97,2.27,3.9,20.79,7.71,89.79644955,0,7.277395132,8.737359647,0.0057,0.0022,High
WPB2789,concentrate,48.27,4.29,2.23,4.4,11.53,4.34,34.95266565,23.78117454,3.351824599,3.351396856,0.0077,0.0028,Low
WPB2790,concentrate,53.91,7.02,2.75,3.28,10.99,3.89,39.70139981,38.20387661,3.379356765,1.684128777,0.0148,0.0017,Low
WPB2791,isolate,89.4,0,3.98,2.41,17.55,7.21,88.92291548,2.138285527,7.492131396,8.208240615,0.0097,0.0055,High
WPB2792,isolate,83.88,4.83,2.81,4.1,15.87,6.51,91.46248539,5.812158637,6.350502266,8.03210082,0.0068,0.0022,High
WPB2793,isolate,87.87,2.84,2.49,5.2,19.72,7.62,86.43061686,1.844404129,10,9.072596933,0.0199,0.0016,High
WPB2794,concentrate,89.22,6.19,3.31,3.72,21.31,8.31,85.47046584,5.383305201,8.719947548,9.940229694,0.0273,0.003,High
WPB2795,isolate,57.83,7.36,7.19,3.24,14,5.07,41.3596069,29.65987428,5.541962383,4.386662767,0.0083,0.0049,Low
WPB2796,isolate,68.43,7.13,2.35,4.5,14.24,5.96,60.99620786,23.89705427,3.788088111,2.001277247,0.0215,0.0049,Low
WPB2797,isolate,49.79,4.54,1.92,3.73,10.33,4.11,56.26846575,28.04918543,5.402799938,1.740903268,0.001,0.0006,Low
WPB2798,blend,54.98,3.01,3.59,3.42,12.81,5.28,40.14909013,17.65664915,4.561782666,3.504151346,0.0033,0.0002,Low
WPB2799,concentrate,93.24,3.26,3.4,3.61,17.85,6.98,84.03325915,8.489149178,9.106249126,8.592357934,0.0084,0.0032,High
WPB2800,isolate,83.88,5.84,4.06,4.15,18.61,7.2,94.06110552,3.199382685,6.742600611,7.911013193,0.0174,0.0014,High
WPB2801,blend,38.92,6.71,5.01,3.84,7.92,2.92,49.72734491,42.79381693,3.197497732,2.945754075,0.0004,0.0037,Low
WPB2802,blend,58.75,8.53,0,4.7,13.75,5.64,65.63190983,26.36374546,1,3.543366172,0.0205,0.0019,Low
WPB2803,blend,80.22,2.29,7.57,4.86,19.14,6.63,66.49069828,19.39657508,7.73290344,6.512228655,0.0023,0.0034,Medium
WPB2804,isolate,64.45,4.75,4.13,3.41,12.62,5.05,73.62465578,11.82354849,6.970686356,6.487662274,0.0237,0.0008,Medium
WPB2805,blend,87.04,4.84,4.2,4.39,16.7,6.13,89.53559842,2.573426944,7.969141838,9.069199654,0.0055,0.0021,High
WPB2806,concentrate,69.91,4.73,3.03,4.7,17.54,6.82,59.20054832,12.71624406,6.777587429,5.730958908,0.0036,0.0019,Medium
WPB2807,blend,57.17,5.81,2.25,3.5,12.55,4.57,24.95432288,32.48240216,3.917788572,2.390944279,0.0114,0.0003,Low
WPB2808,blend,87.9,5.6,3.88,4.01,21.01,8.3,95.84941277,6.296987548,9.503103603,8.583216643,0.0139,0.0039,High
WPB2809,blend,81.54,2.54,1.85,3.74,16.71,6.67,84.22889343,17.54013109,7.456637381,6.456563292,0.0017,0.006,Medium
WPB2810,blend,45.59,1.82,3.11,4.27,9.58,3.29,33.82298662,30.49129627,2.575969375,1.315839902,0.0108,0,Low
WPB2811,concentrate,89.16,6.55,0.3,2.17,20.79,7.2,100,4.678066249,9.753680558,9.415902703,0.0109,0.0026,High
WPB2812,isolate,59.35,2.24,0.98,5.06,14.87,5.93,41.30617284,16.87360959,2.089883691,2.826859135,0.0012,0.0031,Low
WPB2813,concentrate,55.35,7.74,6.19,5.77,12.58,4.83,36.39210982,30.07295006,3.015070192,5.618863273,0.0017,0.005,Low
WPB2814,concentrate,40.95,2.72,4.22,4.2,8.72,3.33,29.71332318,39.39370421,3.80789015,3.103908691,0.0012,0.0017,Low
WPB2815,isolate,77.08,3.88,3.51,4.33,17.02,6.56,79.12530592,13.11424544,5.881610757,4.395317436,0.0031,0.0021,Medium
WPB2816,blend,49.89,3.12,1.1,5.24,11.1,4.06,36.84823796,20.9499237,4.605187531,4.115660629,0.0181,0.0016,Low
WPB2817,isolate,42.8,9.08,5.35,5.23,10,3.6,52.08736025,18.22109108,2.802044202,3.356733772,0.0149,0.0045,Low
WPB2818,isolate,76.85,10.62,0.31,2.83,17.06,5.82,68.4708355,23.32816401,7.03245391,6.764142606,0.0049,0.0011,Medium
WPB2819,concentrate,90.3,5.09,0.6,4.29,19,6.71,94.40184661,3.628149768,7.945867991,8.77427393,0.015,0.0007,High
WPB2820,isolate,86.15,3.15,1.22,3.79,22.79,9.16,85.74232749,5.297631037,8.225787499,8.068311061,0.0007,0.0012,High
WPB2821,blend,90.5,3.46,2.91,3.32,18.3,7.67,87.22475273,4.23202586,10,10,0.025,0.0034,High
WPB2822,concentrate,90.53,7.57,3.51,1.7,22.05,8.09,87.87233564,3.628328973,8.397883199,8.738913749,0.0055,0.002,High
WPB2823,blend,54.88,4.29,3.44,5.96,10.93,4.51,45.15837677,36.32493347,1.770864425,2.786920421,0.0297,0.0044,Low
WPB2824,concentrate,59.17,8.9,1.53,2.31,12.69,4.34,40.99048761,30.29463692,2.450937792,5.003630812,0.0011,0.0032,Low
WPB2825,blend,61.83,4.69,4.16,4.42,14.26,5.87,28.67985355,30.72211639,3.59785385,4.525472042,0.0092,0.001,Low
WPB2826,isolate,77.63,8.67,9.09,4.11,16.08,6.25,78.95987758,14.30207057,6.482228615,6.709318686,0.0174,0.0013,Medium
WPB2827,isolate,38.99,4.53,0,4.25,9.44,3.77,37.8627556,34.35543907,4.843428306,3.437889898,0.022,0.0018,Low
WPB2828,isolate,62.4,2.27,2,3.57,12.82,5.14,80.20970483,12.10050638,5.551238743,6.072834957,0.0028,0.0013,Medium
WPB2829,blend,80.33,0.43,0.69,4.06,19.59,7.4,69.14675337,6.169402676,4.078245756,6.788105941,0.0014,0.0023,Medium
WPB2830,concentrate,50.18,6.57,0.96,2.83,10.64,4.43,43.14168125,32.69069103,3.20367732,3.184286917,0.0126,0.0061,Low
WPB2831,concentrate,86.51,0.84,1.3,4.44,19.23,6.62,91.83853885,2.957636827,8.693977686,8.603326493,0.0014,0.0003,High
WPB2832,concentrate,68.23,8.33,0,3.96,14.9,5.08,58.4775013,29.80818899,4.884754109,1.574634915,0.0027,0.0001,Low
WPB2833,isolate,85.8,1.94,1.27,3.82,19.23,7.78,95.16683038,0,9.310666234,8.906142264,0.0562,0.0027,High
WPB2834,blend,54.03,6.42,3.39,3.68,11.3,4.05,58.10691214,18.02773775,2.649027232,2.37212962,0.0093,0.011,Low
WPB2835,concentrate,75.06,9.84,4.27,3.61,17.36,7.15,75.60761467,11.01932113,7.002940337,5.556248914,0.0225,0.0129,Medium
WPB2836,blend,53.51,7.57,0,4.21,12.05,4.98,26.65731197,39.93149499,3.772369415,4.213981141,0.0106,0.0028,Low
WPB2837,concentrate,92.03,3.78,6.4,6.03,20.08,7.24,79.79598487,6.928167619,7.846625087,8.601428203,0.0083,0.0067,High
WPB2838,isolate,73.13,12.36,0,4.77,17.32,6.14,80.24190476,10.66673788,5.826533112,6.527954337,0.0095,0.0027,Medium
WPB2839,blend,60.04,9.37,0,4.52,12.14,4.83,69.3904602,33.86076596,3.863128566,4.113178436,0.0352,0.0044,Low
WPB2840,concentrate,55.49,7.91,3.77,1.84,13.29,5.17,44.03372969,36.0575739,2.510238004,1.31353126,0.0355,0.0024,Low
WPB2841,concentrate,61.77,4.94,6.53,3.28,12.27,4.55,56.51460004,37.07285418,2.762736,2.848225393,0.0335,0.0038,Low
WPB2842,concentrate,68.14,3.41,4.81,4.64,15.86,5.79,80.19294704,7.295402487,4.556072264,6.079389428,0.0027,0.0041,Medium
WPB2843,concentrate,63.73,12.14,1.58,4.99,13.01,5.06,70.57519706,9.779563838,5.818947473,5.480478537,0.0006,0.0008,Medium
WPB2844,isolate,75.15,4.83,5.3,4.49,15.3,6.35,66.05050564,15.47719555,7.513547842,6.866641834,0.012,0.001,Medium
WPB2845,concentrate,85.46,3.24,2.55,4.34,19.11,7.08,89.62502744,4.786570234,9.534251034,6.966820765,0.0066,0.0057,High
WPB2846,concentrate,92.39,4.42,0.06,3.08,18.8,6.96,88.12592405,4.867146872,7.759280973,7.727518361,0.0229,0.007,High
WPB2847,isolate,54.42,1.76,0,3.27,11.21,3.85,48.90249161,33.49193427,4.141570115,3.792279112,0.0078,0.0025,Low
WPB2848,concentrate,56.54,2.97,6.1,3.29,12.42,4.99,68.25289763,32.76736217,3.036097972,1,0.0052,0.0012,Low
WPB2849,blend,73.46,6.07,0.49,5.09,15.02,5.42,71.4269686,11.19241414,6.923605249,6.718677406,0.0038,0.0063,Medium
WPB2850,blend,50.44,5.81,0.77,3.67,10.18,3.84,43.90957737,17.53995745,2.57909479,2.995779414,0.0012,0.0049,Low
WPB2851,concentrate,75.29,6.17,2.6,4.15,14.51,6.03,68.02423878,13.26594896,7.437981967,5.542780282,0.0026,0.0012,Medium
WPB2852,isolate,80.07,1.52,0.17,4.76,16.68,6.01,71.8633189,16.35152982,7.014449214,4.625664467,0.0065,0.0001,Medium
WPB2853,isolate,87.06,6.5,5.55,2.42,20.94,8.29,100,2.112748109,8.798963311,7.951076937,0.0028,0.0018,High
WPB2854,isolate,73.09,3.65,2.08,5.2,16.44,6.08,69.04955166,12.42530061,7.222676464,6.387803494,0.0249,0.0011,Medium
WPB2855,concentrate,79.02,6.3,3.27,4.66,17.6,6.54,71.01030592,14.79598133,4.957600145,6.235193768,0.0244,0.0051,Medium
WPB2856,concentrate,82.95,9.32,2.37,3.01,17.45,6.88,95.43817665,6.877510258,10,8.097262758,0.0081,0.0044,High
WPB2857,blend,80.94,8.89,5.03,4.09,18.35,6.46,66.16311027,10.74889979,7.433015324,6.826917678,0.0019,0.0036,Medium
WPB2858,isolate,85.58,7.39,1.14,4.01,20.48,7.01,95.30194374,1.071515331,8.89728393,8.018790769,0.0039,0.0014,High
WPB2859,concentrate,61.61,5.12,4.18,3.81,16.03,5.9,42.08004748,36.20132258,5.06945776,2.487042269,0.0153,0.0005,Low
WPB2860,concentrate,76.47,5.14,4.83,4.42,16.76,6.69,69.77810139,19.42301827,4.732321804,5.046911164,0.0113,0.0012,Medium
WPB2861,concentrate,64.58,3.32,2.64,2.15,16.25,6.05,64.58182863,11.61459067,5.000356403,5.960774312,0.0138,0.0069,Medium
WPB2862,isolate,88.04,7.2,4.52,5.2,24.16,8.44,86.21330764,5.65188158,8.883539954,8.976771074,0.0031,0.0057,High
WPB2863,isolate,91.94,2.21,2.85,4.59,20.67,7.96,88.66225503,0,9.522975047,7.477561029,0.0001,0.0006,High
WPB2864,blend,87.09,0.22,5.29,6.06,17.29,5.92,97.85952841,2.271139725,9.328242576,7.139549614,0.0001,0.0143,High
WPB2865,isolate,87.36,3.84,0,4.18,19.7,7.16,96.24209134,6.708912036,8.994414568,8.456061533,0.0112,0.003,High
WPB2866,concentrate,71.16,0.1,0.88,4.65,12.59,4.52,68.08447509,13.13687117,5.429628973,6.781891514,0.008,0.0006,Medium
WPB2867,blend,91.59,2.62,2.67,5.69,20.42,7.59,99.02496438,2.911845114,8.354905466,7.200299045,0.0053,0.0037,High
WPB2868,isolate,51.76,6.52,0,3.02,10.43,4.18,49.55168574,32.78307461,4.030983192,5.027629571,0.0147,0.0006,Low
WPB2869,isolate,83.96,0,2.35,4.97,19.57,7.22,73.6043654,11.96869215,7.139852743,5.558198663,0.0224,0.004,Medium
WPB2870,isolate,80.78,5.29,2.33,4.66,17.19,6.47,80.09416847,15.39388672,5.929565304,6.284115798,0.0211,0.0035,Medium
WPB2871,isolate,81.66,6.63,0.34,3.03,18.51,6.69,68.45899784,9.334572516,7.432654372,6.096603651,0.0138,0.0067,Medium
WPB2872,concentrate,88.24,7.84,1.04,2.15,19.4,7.59,91.71482681,8.41400349,9.157062743,9.862973134,0.0646,0.0115,High
WPB2873,isolate,86.54,2.72,1.25,3,17.87,6.7,95.19650339,0,9.210377581,7.45144479,0.0001,0.0005,High
WPB2874,concentrate,89.44,0.48,3.8,2.9,22.01,8.94,92.54896946,7.803675727,8.503082237,9.320499286,0.0027,0.0033,High
WPB2875,concentrate,65.86,0,4.07,2.62,13.83,5.6,56.73207443,35.51070126,1.838677186,3.846491591,0.0157,0.001,Low
WPB2876,concentrate,83.87,6.55,0.81,3.47,18.05,6.14,78.35707911,18.32499938,6.221126763,6.918658833,0.0041,0.0002,Medium
WPB2877,blend,82.43,3.37,5.86,5.1,19.13,6.86,82.70488368,7.89482402,9.252202944,7.680307178,0.0222,0.001,High
WPB2878,concentrate,96.11,3.24,4.26,3.11,22.89,9.47,87.38313817,5.502578459,9.601177444,9.196502997,0.0118,0.0003,High
WPB2879,isolate,88.76,4.84,0.42,3.78,17.94,7.42,87.24957662,4.08847404,7.697753155,7.214513892,0.0002,0.0027,High
WPB2880,blend,90.34,8.57,4.9,2.84,20.44,7.78,85.56337383,0,8.660671047,8.511549811,0.0063,0,High
WPB2881,isolate,85.31,0,1.31,3.19,21.07,8.17,87.69793999,2.422301249,6.139388246,7.991544377,0.0012,0.0029,High
WPB2882,concentrate,85.11,3.22,4.77,1.59,17.67,6.02,85.6754025,5.921800592,9.115417996,8.690965789,0.0222,0.0037,High
WPB2883,isolate,67.81,7.38,2.92,3.05,13.24,4.82,71.90788275,15.43805606,6.062335762,5.316345496,0.0022,0.0062,Medium
WPB2884,blend,83.52,6.61,2.73,2.95,18.17,7.02,62.83318585,18.53895486,5.944873197,7.399803979,0.0013,0.0005,Medium
WPB2885,blend,50.18,4.62,4.86,3.82,11.27,4.49,56.40446378,21.41118843,3.435367565,2.198887011,0.0123,0.0048,Low
WPB2886,isolate,87.72,10.41,3.26,3.74,20.45,8.56,83.48149813,5.063327468,8.644880387,6.21257805,0.0036,0.0059,High
WPB2887,isolate,87.1,5.59,3.73,3.92,18.82,7.74,92.6014776,2.424858267,10,8.27831315,0.01,0.0058,High
WPB2888,isolate,84.94,0.79,1.38,4.03,20.12,7.63,90.99289951,3.360046256,8.374974759,6.789224984,0.0139,0.0063,High
WPB2889,blend,87.4,3.17,3.42,5.23,20.54,7.14,90.58403975,1.369856047,9.478032347,8.972040598,0.0092,0.0092,High
WPB2890,concentrate,75.44,9.77,1.47,3.76,16.79,6.21,67.97552896,17.54009161,5.917055141,8.599420098,0.0087,0.002,Medium
WPB2891,isolate,81.24,5.44,1.93,4.13,16.76,6.96,79.63078135,17.82821965,5.942382623,6.589594551,0.0015,0.001,Medium
WPB2892,concentrate,69.7,7.05,2.44,3.46,14.33,5.75,62.86464367,15.45840787,5.929750108,5.950515965,0.0003,0.0038,Medium
WPB2893,blend,86.25,9.67,2.78,4.36,14.54,5.5,88.89026841,2.13858948,8.721288614,8.427471009,0.0175,0.0008,High
WPB2894,isolate,77.75,12.28,2.32,4.47,16.41,5.98,68.61258424,12.97166095,4.441465581,7.406245474,0.0053,0.0021,Medium
WPB2895,isolate,55.32,1.29,2.04,4.27,12.32,4.21,34.09277955,27.37045849,3.082448636,5.918585018,0.0026,0.0026,Low
WPB2896,blend,55.45,4.66,3.82,5,11.8,4.8,49.74721724,27.72616857,2.095365131,3.012159382,0.0233,0.0037,Low
WPB2897,isolate,70.14,5.46,2.91,5.41,16.24,5.71,72.3161375,13.50638894,5.572022559,5.886121645,0.0243,0.0042,Medium
WPB2898,concentrate,78.89,5.55,3.83,2.96,18.32,7.4,77.14740694,17.80493279,6.48947633,6.722132524,0.0256,0.0189,Medium
WPB2899,blend,92.24,7.57,6.95,3.78,21.64,7.75,92.98500873,7.202301874,6.903553747,9.018241197,0.0028,0.0074,High
WPB2900,blend,81.61,8.29,5.44,3.84,19.23,6.54,56.6167966,9.438835,6.508395287,4.699691941,0.0116,0.0009,Medium
WPB2901,isolate,87.42,5.49,1.92,4.71,20.1,8.35,98.1778653,4.076305963,7.274715041,7.797520084,0.0076,0.0072,High
WPB2902,blend,80.25,4.97,1.85,4.17,17.94,7.21,89.0270616,2.661774531,7.160115376,7.769380635,0.0082,0.0075,High
WPB2903,isolate,76.17,0.08,2.95,3.63,16.18,6.06,69.17527433,5.36471998,5.406642947,4.309989212,0.0058,0.0089,Medium
WPB2904,isolate,55.7,3.77,5.73,4.9,10.23,4.02,56.68073064,35.72112847,3.612402786,6.130071457,0.002,0.0036,Low
WPB2905,blend,69.91,8.7,4.61,5.97,13.83,5.51,77.40487742,11.86856651,6.44378887,6.227288647,0.0049,0.0027,Medium
WPB2906,isolate,70.89,2.14,5.35,3.31,17.14,6.81,72.8857231,7.790861437,6.102062827,4.895117809,0.0007,0.0014,Medium
WPB2907,concentrate,85.01,8.13,1.12,4.32,19.9,6.82,91.25338354,7.457733912,10,9.02294365,0.0147,0.0015,High
